Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1873.144.peg.48	CDS	PH63_1	47396	45606	-2	-	1791	Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type	tRNA aminoacylation, Pro	 	 
fig|1873.144.peg.49	CDS	PH63_1	47940	47452	-3	-	489	Redox-sensitive transcriptional activator SoxR	Oxidative stress	 	 
fig|1873.144.peg.50	CDS	PH63_1	47995	48657	1	+	663	Putative reductase	- none -	 	 
fig|1873.144.peg.51	CDS	PH63_1	48654	49865	3	+	1212	hypothetical protein	- none -	 	 
fig|1873.144.peg.52	CDS	PH63_1	50500	50009	-1	-	492	hypothetical protein	- none -	 	 
fig|1873.144.peg.53	CDS	PH63_1	50868	50497	-3	-	372	hypothetical protein	- none -	 	 
fig|1873.144.peg.54	CDS	PH63_1	51283	52050	1	+	768	putative secreted protein	- none -	 	 
fig|1873.144.peg.55	CDS	PH63_1	52054	52500	1	+	447	hypothetical protein	- none -	 	 
fig|1873.144.peg.56	CDS	PH63_1	52523	53467	2	+	945	Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)	- none -	 	 
fig|1873.144.peg.57	CDS	PH63_1	54731	53550	-2	-	1182	hypothetical protein	- none -	 	 
fig|1873.144.peg.58	CDS	PH63_1	55273	54728	-1	-	546	Sigma-70, region 4 type 2	- none -	 	 
fig|1873.144.peg.59	CDS	PH63_1	56060	55482	-2	-	579	Transcriptional regulator, AcrR family	- none -	 	 
fig|1873.144.peg.60	CDS	PH63_1	56168	57331	2	+	1164	hypothetical protein	- none -	 	 
fig|1873.144.peg.61	CDS	PH63_1	58643	57378	-2	-	1266	FIG00815446: hypothetical protein	- none -	 	 
fig|1873.144.peg.62	CDS	PH63_1	58798	59421	1	+	624	Transcriptional regulator, AcrR family	- none -	 	 
fig|1873.144.peg.63	CDS	PH63_1	59499	60866	3	+	1368	Biotin carboxylase of methylcrotonyl-CoA carboxylase (EC 6.3.4.14)	HMG CoA Synthesis	 	 
fig|1873.144.peg.64	CDS	PH63_1	60913	61026	1	+	114	hypothetical protein	- none -	 	 
fig|1873.144.peg.65	CDS	PH63_1	61038	61376	3	+	339	Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	HMG CoA Synthesis	 	 
fig|1873.144.peg.66	CDS	PH63_1	61334	61957	2	+	624	Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	HMG CoA Synthesis	 	 
fig|1873.144.peg.67	CDS	PH63_1	62202	63734	3	+	1533	Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)	HMG CoA Synthesis	 	 
fig|1873.144.peg.68	CDS	PH63_1	63840	64994	3	+	1155	Isovaleryl-CoA dehydrogenase (EC 1.3.8.4)	HMG CoA Synthesis	 	 
fig|1873.144.peg.69	CDS	PH63_1	65227	67860	1	+	2634	hypothetical protein	- none -	 	 
fig|1873.144.peg.70	CDS	PH63_1	68627	68118	-2	-	510	Transcriptional regulator, MarR family	- none -	 	 
fig|1873.144.peg.71	CDS	PH63_1	68731	69312	1	+	582	FIG00814808: hypothetical protein	- none -	 	 
fig|1873.144.peg.72	CDS	PH63_1	69619	71097	1	+	1479	hypothetical protein	- none -	 	 
fig|1873.144.peg.73	CDS	PH63_1	72654	71242	-3	-	1413	hypothetical protein	- none -	 	 
fig|1873.144.peg.74	CDS	PH63_1	72780	73451	3	+	672	hypothetical protein	- none -	 	 
fig|1873.144.peg.75	CDS	PH63_1	73623	74399	3	+	777	hypothetical protein	- none -	 	 
fig|1873.144.peg.76	CDS	PH63_1	74923	74456	-1	-	468	hypothetical protein	- none -	 	 
fig|1873.144.peg.77	CDS	PH63_1	75316	75029	-1	-	288	hypothetical protein	- none -	 	 
fig|1873.144.peg.78	CDS	PH63_1	75397	75636	1	+	240	hypothetical protein	- none -	 	 
fig|1873.144.peg.79	CDS	PH63_1	75736	75909	1	+	174	hypothetical protein	- none -	 	 
fig|1873.144.peg.80	CDS	PH63_1	75946	76827	1	+	882	Uncharacterized protein with N-terminal Xre-type DNA-binding domain	- none -	 	 
fig|1873.144.peg.81	CDS	PH63_1	76797	77018	3	+	222	Small DUF397-containing protein	- none -	 	 
fig|1873.144.peg.82	CDS	PH63_1	77217	77624	3	+	408	hypothetical protein	- none -	 	 
fig|1873.144.peg.83	CDS	PH63_1	78173	77592	-2	-	582	hypothetical protein	- none -	 	 
fig|1873.144.peg.84	CDS	PH63_1	78410	80272	2	+	1863	Alkaline serine exoprotease A precursor (EC 3.4.21.-)	- none -	 	 
fig|1873.144.peg.85	CDS	PH63_1	81149	80343	-2	-	807	glycosyl transferase, WecB/TagA/CpsF family	- none -	 	 
fig|1873.144.peg.86	CDS	PH63_1	82219	81146	-1	-	1074	CDP-tyvelose epimerase (EC 5.1.3.-) (EC 4.2.1.46)	- none -	 	 
fig|1873.144.peg.87	CDS	PH63_1	82640	83428	2	+	789	FIG00824290: FHA domain protein	- none -	 	 
fig|1873.144.peg.88	CDS	PH63_1	83435	83920	2	+	486	FHA-domain-containing protein	- none -	 	 
fig|1873.144.peg.89	CDS	PH63_1	83917	85353	1	+	1437	Serine/threonine phosphatase PPP (EC 3.1.3.16)	- none -	 	 
fig|1873.144.peg.90	CDS	PH63_1	85379	86869	2	+	1491	FtsW-like cell division membrane protein CA_C0505	- none -	 	 
fig|1873.144.peg.91	CDS	PH63_1	86866	88371	1	+	1506	FtsI-like cell elongation transpeptidase	- none -	 	 
fig|1873.144.peg.92	CDS	PH63_1	88373	89773	2	+	1401	Serine/threonine-protein kinase PknA (EC 2.7.11.1)	- none -	 	 
fig|1873.144.peg.93	CDS	PH63_1	89770	91575	1	+	1806	Serine/threonine-protein kinase PknB (EC 2.7.11.1)	- none -	 	 
fig|1873.144.peg.94	CDS	PH63_1	91760	92377	2	+	618	hypothetical protein	- none -	 	 
fig|1873.144.peg.95	CDS	PH63_1	93108	92458	-3	-	651	Anthranilate synthase, amidotransferase component (EC 4.1.3.27) @ Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.; <br>Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.; <br>Folate Biosynthesis; <br>Tryptophan synthesis; <br>Tryptophan synthesis	 	 
fig|1873.144.peg.96	CDS	PH63_1	93404	93117	-2	-	288	Uncharacterized membrane protein SCO3852	- none -	 	 
fig|1873.144.peg.97	CDS	PH63_1	95452	93407	-1	-	2046	putative membrane protein	- none -	 	 
fig|1873.144.peg.98	CDS	PH63_1	96255	95449	-3	-	807	FIG215594: Membrane spanning protein	- none -	 	 
fig|1873.144.peg.99	CDS	PH63_1	96483	96746	3	+	264	Cell division protein CrgA	- none -	 	 
fig|1873.144.peg.100	CDS	PH63_1	97039	99387	1	+	2349	Fe-S oxidoreductase	- none -	 	 
fig|1873.144.peg.101	CDS	PH63_1	100127	99447	-2	-	681	hypothetical protein	- none -	 	 
fig|1873.144.peg.102	CDS	PH63_1	100247	101563	2	+	1317	UPF0053 protein Rv1842c/MT1890	- none -	 	 
fig|1873.144.peg.103	CDS	PH63_1	101556	102599	3	+	1044	Uncharacterized protein Rv1841c/MT1889	- none -	 	 
fig|1873.144.peg.104	CDS	PH63_1	102852	103742	3	+	891	putative secreted protein	- none -	 	 
fig|1873.144.peg.105	CDS	PH63_1	105832	103808	-1	-	2025	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	Murein Hydrolases; <br>Recycling of Peptidoglycan Amino Acids	 	 
fig|1873.144.peg.106	CDS	PH63_1	106217	107257	2	+	1041	putative secreted protein	- none -	 	 
fig|1873.144.peg.107	CDS	PH63_1	107905	107327	-1	-	579	Deoxycytidine triphosphate deaminase (EC 3.5.4.30) (dUMP-forming)	pyrimidine conversions	 	 
fig|1873.144.peg.108	CDS	PH63_1	107984	108535	2	+	552	hypothetical protein	- none -	 	 
fig|1873.144.peg.109	CDS	PH63_1	109662	108676	-3	-	987	Gll1663 protein	- none -	 	 
fig|1873.144.peg.110	CDS	PH63_1	111244	110585	-1	-	660	hypothetical protein	- none -	 	 
fig|1873.144.peg.111	CDS	PH63_1	111320	112027	2	+	708	hypothetical protein	- none -	 	 
fig|1873.144.peg.112	CDS	PH63_1	112708	112187	-1	-	522	hypothetical protein	- none -	 	 
fig|1873.144.peg.113	CDS	PH63_1	112872	113681	3	+	810	hypothetical protein	- none -	 	 
fig|1873.144.peg.114	CDS	PH63_1	114812	113715	-2	-	1098	FIG00816554: hypothetical protein	- none -	 	 
fig|1873.144.peg.115	CDS	PH63_1	115278	114937	-3	-	342	Transcriptional regulator, PadR family	CBSS-1352.1.peg.856	 	 
fig|1873.144.peg.116	CDS	PH63_1	115379	116260	2	+	882	Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases	- none -	 	 
fig|1873.144.peg.117	CDS	PH63_1	116813	116340	-2	-	474	protein of unknown function DUF984	- none -	 	 
fig|1873.144.peg.118	CDS	PH63_1	116876	117412	2	+	537	hypothetical protein	- none -	 	 
fig|1873.144.peg.119	CDS	PH63_1	118329	117400	-3	-	930	hypothetical protein	- none -	 	 
fig|1873.144.peg.120	CDS	PH63_1	118918	118367	-1	-	552	Adenine phosphoribosyltransferase (EC 2.4.2.7)	Purine conversions; <br>cAMP signaling in bacteria	 	 
fig|1873.144.peg.121	CDS	PH63_1	119115	119756	3	+	642	Rare lipoprotein A	- none -	 	 
fig|1873.144.peg.122	CDS	PH63_1	119857	120984	1	+	1128	Stage II sporulation protein E-like	- none -	 	 
fig|1873.144.peg.123	CDS	PH63_1	121135	122991	1	+	1857	Acyl-CoA dehydrogenase	- none -	 	 
fig|1873.144.peg.124	CDS	PH63_1	123675	123944	3	+	270	hypothetical protein	- none -	 	 
fig|1873.144.peg.125	CDS	PH63_1	124585	124046	-1	-	540	Phosphohistidine phosphatase SixA	- none -	 	 
fig|1873.144.peg.126	CDS	PH63_1	124701	124985	3	+	285	FIG00815311: hypothetical protein	- none -	 	 
fig|1873.144.peg.127	CDS	PH63_1	125723	125046	-2	-	678	FIG01964566: Predicted membrane protein, hemolysin III homolog	- none -	 	 
fig|1873.144.peg.128	CDS	PH63_1	125831	126469	2	+	639	Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)	EC699-706	 	 
fig|1873.144.peg.129	CDS	PH63_1	126466	127323	1	+	858	Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)	EC699-706	 	 
fig|1873.144.peg.130	CDS	PH63_1	127307	128056	2	+	750	Lactam utilization protein LamB	EC699-706	 	 
fig|1873.144.peg.131	CDS	PH63_1	129955	128114	-1	-	1842	alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen	- none -	 	 
fig|1873.144.peg.132	CDS	PH63_1	130272	130027	-3	-	246	flavin reductase domain protein, FMN-binding	- none -	 	 
fig|1873.144.peg.133	CDS	PH63_1	130583	130272	-2	-	312	hypothetical protein	- none -	 	 
fig|1873.144.peg.134	CDS	PH63_1	130756	130580	-1	-	177	hypothetical protein	- none -	 	 
fig|1873.144.peg.135	CDS	PH63_1	130957	131724	1	+	768	Putative DNA-binding protein	- none -	 	 
fig|1873.144.peg.136	CDS	PH63_1	131715	131906	3	+	192	Small DUF397-containing protein	- none -	 	 
fig|1873.144.peg.137	CDS	PH63_1	134934	132070	-3	-	2865	Basic proline-rich protein precursor	- none -	 	 
fig|1873.144.peg.138	CDS	PH63_1	135415	135278	-1	-	138	hypothetical protein	- none -	 	 
fig|1873.144.peg.139	CDS	PH63_1	137122	135638	-1	-	1485	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	Dehydrogenase complexes; <br>Isoleucine degradation; <br>Valine degradation	 	 
fig|1873.144.peg.140	CDS	PH63_1	138117	137128	-3	-	990	Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	Dehydrogenase complexes; <br>Isoleucine degradation; <br>Valine degradation	 	 
fig|1873.144.peg.141	CDS	PH63_1	139292	138117	-2	-	1176	Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	Dehydrogenase complexes; <br>Isoleucine degradation; <br>Valine degradation	 	 
fig|1873.144.peg.142	CDS	PH63_1	139843	140670	1	+	828	hypothetical protein	- none -	 	 
fig|1873.144.peg.143	CDS	PH63_1	140667	141404	3	+	738	hypothetical protein	- none -	 	 
fig|1873.144.peg.144	CDS	PH63_1	142829	141609	-2	-	1221	hypothetical protein	- none -	 	 
fig|1873.144.peg.145	CDS	PH63_1	144629	142944	-2	-	1686	P-loop GTPase domain-containing protein Sros_8870	- none -	 	 
fig|1873.144.peg.146	CDS	PH63_1	146467	144626	-1	-	1842	P-loop GTPase domain-containing protein Sros_8871	- none -	 	 
fig|1873.144.peg.147	CDS	PH63_1	146691	148568	3	+	1878	Chaperone protein DnaK	Protein chaperones	 	 
fig|1873.144.peg.148	CDS	PH63_1	148617	149345	3	+	729	Heat shock protein GrpE	Protein chaperones	 	 
fig|1873.144.peg.149	CDS	PH63_1	149430	150623	3	+	1194	Chaperone protein DnaJ	Protein chaperones	 	 
fig|1873.144.peg.150	CDS	PH63_1	150670	151110	1	+	441	HspR, transcriptional repressor of DnaK operon	Protein chaperones	 	 
fig|1873.144.peg.151	CDS	PH63_1	151390	151590	1	+	201	FIG00817301: hypothetical protein	- none -	 	 
fig|1873.144.peg.152	CDS	PH63_1	152708	152277	-2	-	432	hypothetical protein	- none -	 	 
fig|1873.144.peg.153	CDS	PH63_1	154092	152887	-3	-	1206	Putative transmembrane transport protein	- none -	 	 
fig|1873.144.peg.154	CDS	PH63_1	154600	154100	-1	-	501	TrkA, Potassium channel	- none -	 	 
fig|1873.144.peg.155	CDS	PH63_1	154846	157437	1	+	2592	Chaperone protein ClpB (ATP-dependent unfoldase)	- none -	 	 
fig|1873.144.peg.156	CDS	PH63_1	157584	157964	3	+	381	hypothetical protein	- none -	 	 
fig|1873.144.peg.157	CDS	PH63_1	158108	158734	2	+	627	hypothetical protein	- none -	 	 
fig|1873.144.peg.158	CDS	PH63_1	158734	159240	1	+	507	hypothetical protein	- none -	 	 
fig|1873.144.peg.159	CDS	PH63_1	159237	159662	3	+	426	putative lipoprotein	- none -	 	 
fig|1873.144.peg.160	CDS	PH63_1	159694	160116	1	+	423	Integral membrane protein	- none -	 	 
fig|1873.144.peg.161	CDS	PH63_1	160116	160916	3	+	801	hypothetical protein	- none -	 	 
fig|1873.144.peg.162	CDS	PH63_1	160913	162484	2	+	1572	Spermidine synthase N-terminal extension / Spermidine synthase (EC 2.5.1.16)	Polyamine Metabolism	 	 
fig|1873.144.peg.163	CDS	PH63_1	162626	163453	2	+	828	hypothetical protein	- none -	 	 
fig|1873.144.peg.164	CDS	PH63_1	163526	164197	2	+	672	hypothetical protein	- none -	 	 
fig|1873.144.peg.165	CDS	PH63_1	164206	165015	1	+	810	Putative short-chain dehydrogenase	- none -	 	 
fig|1873.144.peg.166	CDS	PH63_1	165185	165724	2	+	540	Orotate phosphoribosyltransferase (EC 2.4.2.10)	- none -	 	 
fig|1873.144.peg.167	CDS	PH63_1	165782	166159	2	+	378	Arsenical resistance operon repressor	Arsenic resistance	 	 
fig|1873.144.peg.168	CDS	PH63_1	166931	166218	-2	-	714	DedA protein	DedA family of inner membrane proteins; <br>Uptake of selenate and selenite	 	 
fig|1873.144.peg.169	CDS	PH63_1	167826	167038	-3	-	789	TesB-like acyl-CoA thioesterase 5	Acyl-CoA thioesterase II	 	 
fig|1873.144.peg.170	CDS	PH63_1	170482	167957	-1	-	2526	Putative phosphatase	- none -	 	 
fig|1873.144.peg.171	CDS	PH63_1	171957	170479	-3	-	1479	HEN1 C-terminal domain; double-stranded RNA 3&#39;-methylase	- none -	 	 
fig|1873.144.peg.172	CDS	PH63_1	173806	172244	-1	-	1563	hypothetical protein	- none -	 	 
fig|1873.144.peg.173	CDS	PH63_1	173986	174804	1	+	819	hypothetical protein	- none -	 	 
fig|1873.144.peg.174	CDS	PH63_1	175070	174858	-2	-	213	hypothetical protein	- none -	 	 
fig|1873.144.peg.175	CDS	PH63_1	175199	175582	2	+	384	putative membrane protein	- none -	 	 
fig|1873.144.peg.176	CDS	PH63_1	175733	176758	2	+	1026	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	Glycolysis and Gluconeogenesis	 	 
fig|1873.144.peg.177	CDS	PH63_1	178084	176828	-1	-	1257	FIG00816871: hypothetical protein	- none -	 	 
fig|1873.144.peg.178	CDS	PH63_1	178376	178804	2	+	429	hypothetical protein	- none -	 	 
fig|1873.144.peg.179	CDS	PH63_1	179911	178943	-1	-	969	hypothetical protein	- none -	 	 
fig|1873.144.peg.180	CDS	PH63_1	180194	181351	2	+	1158	hypothetical protein	- none -	 	 
fig|1873.144.peg.181	CDS	PH63_1	182894	181854	-2	-	1041	hypothetical protein	- none -	 	 
fig|1873.144.peg.182	CDS	PH63_1	183017	184306	2	+	1290	Adenylosuccinate synthetase (EC 6.3.4.4)	Purine conversions	 	 
fig|1873.144.peg.183	CDS	PH63_1	184421	185668	2	+	1248	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	De Novo Purine Biosynthesis	 	 
fig|1873.144.peg.184	CDS	PH63_1	185719	185877	1	+	159	RNA polymerase ECF sigma factor	- none -	 	 
fig|1873.144.peg.185	CDS	PH63_1	187334	185901	-2	-	1434	MFS-type drug/proton antiporter	- none -	 	 
fig|1873.144.peg.186	CDS	PH63_1	188952	187390	-3	-	1563	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Biotin biosynthesis; <br>Fatty acid metabolism cluster	 	 
fig|1873.144.peg.187	CDS	PH63_1	190311	189097	-3	-	1215	Acyl-CoA dehydrogenase SCO1209, short-chain specific (EC 1.3.8.1)	- none -	 	 
fig|1873.144.peg.188	CDS	PH63_1	190765	190313	-1	-	453	SCP-2 sterol transfer family protein	- none -	 	 
fig|1873.144.peg.189	CDS	PH63_1	190833	191477	3	+	645	Transcriptional regulator, AcrR family	- none -	 	 
fig|1873.144.peg.190	CDS	PH63_1	192139	191549	-1	-	591	DedA protein	DedA family of inner membrane proteins; <br>Uptake of selenate and selenite	 	 
fig|1873.144.peg.191	CDS	PH63_1	193513	192230	-1	-	1284	Adenylosuccinate synthetase-like protein	- none -	 	 
fig|1873.144.peg.192	CDS	PH63_1	194519	193560	-2	-	960	FIG00816704: hypothetical protein	- none -	 	 
fig|1873.144.peg.193	CDS	PH63_1	195503	194529	-2	-	975	Adenylate cyclase (EC 4.6.1.1)	cAMP signaling in bacteria	 	 
fig|1873.144.peg.194	CDS	PH63_1	196255	195500	-1	-	756	Hypothetical Nudix-like regulator	- none -	 	 
fig|1873.144.peg.195	CDS	PH63_1	197441	196371	-2	-	1071	Probable (3R)-hydroxyacyl-CoA dehydratase HtdX	- none -	 	 
fig|1873.144.peg.196	CDS	PH63_1	198796	197441	-1	-	1356	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35), FabG4	- none -	 	 
fig|1873.144.peg.197	CDS	PH63_1	198852	200144	3	+	1293	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9), FadA2	Biotin biosynthesis; <br>Fatty acid metabolism cluster; <br>Isoleucine degradation; <br>Polyhydroxybutyrate metabolism	 	 
fig|1873.144.peg.198	CDS	PH63_1	200208	200723	3	+	516	RNA polymerase ECF sigma factor	- none -	 	 
fig|1873.144.peg.199	CDS	PH63_1	200720	201496	2	+	777	hypothetical protein	- none -	 	 
fig|1873.144.peg.200	CDS	PH63_1	201791	201558	-2	-	234	Toxin 1, PIN domain	- none -	 	 
fig|1873.144.peg.201	CDS	PH63_1	201846	203468	3	+	1623	Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)	De Novo Purine Biosynthesis; <br>Purine conversions	 	 
fig|1873.144.peg.202	CDS	PH63_1	204601	203921	-1	-	681	Peptidase S1 and S6, chymotrypsin/Hap	- none -	 	 
fig|1873.144.peg.203	CDS	PH63_1	205006	205269	1	+	264	Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)	De Novo Purine Biosynthesis	 	 
fig|1873.144.peg.204	CDS	PH63_1	205266	205949	3	+	684	Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	De Novo Purine Biosynthesis	 	 
fig|1873.144.peg.205	CDS	PH63_1	206017	208764	1	+	2748	Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)	De Novo Purine Biosynthesis	 	 
fig|1873.144.peg.206	CDS	PH63_1	208769	209524	2	+	756	putative lipoprotein	- none -	 	 
fig|1873.144.peg.207	CDS	PH63_1	211593	209641	-3	-	1953	hypothetical protein	- none -	 	 
fig|1873.144.peg.208	CDS	PH63_1	211753	212106	1	+	354	Uncharacterized protein MSMEG_5817	- none -	 	 
fig|1873.144.peg.209	CDS	PH63_1	212277	213815	3	+	1539	Amidophosphoribosyltransferase (EC 2.4.2.14)	De Novo Purine Biosynthesis	 	 
fig|1873.144.peg.210	CDS	PH63_1	213874	215028	1	+	1155	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	De Novo Purine Biosynthesis	 	 
fig|1873.144.peg.211	CDS	PH63_1	215169	216302	3	+	1134	putative arylsulfatase regulatory protein	- none -	 	 
fig|1873.144.peg.212	CDS	PH63_1	216271	216504	1	+	234	hypothetical protein	- none -	 	 
