Feature ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|1873.143.peg.153	CDS	O3_1	155571	154861	-3	-	711	Branched-chain amino acid ABC transporter, ATP-binding protein LivF (TC 3.A.1.4.1)	- none -	 	 
fig|1873.143.peg.154	CDS	O3_1	156463	155561	-1	-	903	Branched-chain amino acid ABC transporter, ATP-binding protein LivG (TC 3.A.1.4.1)	- none -	 	 
fig|1873.143.peg.155	CDS	O3_1	157661	156471	-2	-	1191	Branched-chain amino acid ABC transporter, permease protein LivM (TC 3.A.1.4.1)	- none -	 	 
fig|1873.143.peg.156	CDS	O3_1	158608	157658	-1	-	951	Branched-chain amino acid ABC transporter, permease protein LivH (TC 3.A.1.4.1)	- none -	 	 
fig|1873.143.peg.157	CDS	O3_1	159886	158720	-1	-	1167	Branched-chain amino acid ABC transporter, substrate-binding protein LivJ (TC 3.A.1.4.1)	- none -	 	 
fig|1873.143.peg.158	CDS	O3_1	161280	160093	-3	-	1188	hypothetical protein	- none -	 	 
fig|1873.143.peg.159	CDS	O3_1	161985	161374	-3	-	612	Two-component transcriptional response regulator PdtaR, LuxR family	- none -	 	 
fig|1873.143.peg.160	CDS	O3_1	162334	162948	1	+	615	hypothetical protein	- none -	 	 
fig|1873.143.peg.161	CDS	O3_1	163872	162958	-3	-	915	Hydrolase, alpha/beta fold family	- none -	 	 
fig|1873.143.peg.162	CDS	O3_1	163984	164634	1	+	651	hypothetical protein	- none -	 	 
fig|1873.143.peg.163	CDS	O3_1	165849	164671	-3	-	1179	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	- none -	 	 
fig|1873.143.peg.164	CDS	O3_1	165933	166415	3	+	483	Transcriptional regulator, AsnC family	- none -	 	 
fig|1873.143.peg.165	CDS	O3_1	166438	167508	1	+	1071	Luciferase-like monooxygenase YhbW	- none -	 	 
fig|1873.143.peg.166	CDS	O3_1	167557	167718	1	+	162	hypothetical protein	- none -	 	 
fig|1873.143.peg.167	CDS	O3_1	167747	169168	2	+	1422	Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)	Aromatic amino acid degradation	 	 
fig|1873.143.peg.168	CDS	O3_1	170488	169538	-1	-	951	putative membrane protein	- none -	 	 
fig|1873.143.peg.169	CDS	O3_1	171054	170590	-3	-	465	Predicted transcriptional regulator of sulfate adenylyltransferase, Rrf2 family	Rrf2 family transcriptional regulators	 	 
fig|1873.143.peg.170	CDS	O3_1	171325	171519	1	+	195	YceI family protein	- none -	 	 
fig|1873.143.peg.171	CDS	O3_1	171676	171858	1	+	183	hypothetical protein	- none -	 	 
fig|1873.143.peg.172	CDS	O3_1	172839	171955	-3	-	885	Acyl-CoA thioesterase II (EC 3.1.2.-)	Acyl-CoA thioesterase II	 	 
fig|1873.143.peg.173	CDS	O3_1	174284	172836	-2	-	1449	Pyruvate kinase (EC 2.7.1.40)	Entner-Doudoroff Pathway; <br>Glycerate metabolism; <br>Glycolysis and Gluconeogenesis; <br>Pyruvate metabolism I: anaplerotic reactions, PEP	 	 
fig|1873.143.peg.174	CDS	O3_1	175890	174484	-3	-	1407	hypothetical protein	- none -	 	 
fig|1873.143.peg.175	CDS	O3_1	176387	176022	-2	-	366	YCII-like protein	- none -	 	 
fig|1873.143.peg.176	CDS	O3_1	176679	180326	3	+	3648	hypothetical protein	- none -	 	 
fig|1873.143.peg.177	CDS	O3_1	180384	180698	3	+	315	hypothetical protein	- none -	 	 
fig|1873.143.peg.178	CDS	O3_1	180695	181156	2	+	462	hypothetical protein	- none -	 	 
fig|1873.143.peg.179	CDS	O3_1	185215	181184	-1	-	4032	hypothetical protein	- none -	 	 
fig|1873.143.peg.180	CDS	O3_1	185435	186307	2	+	873	Putative oxidoreductase	- none -	 	 
fig|1873.143.peg.181	CDS	O3_1	186825	186367	-3	-	459	Lipase LipA precursor	- none -	 	 
fig|1873.143.peg.182	CDS	O3_1	187249	188604	1	+	1356	hypothetical protein	- none -	 	 
fig|1873.143.peg.183	CDS	O3_1	189233	188655	-2	-	579	Transcriptional regulator, AcrR family	- none -	 	 
fig|1873.143.peg.184	CDS	O3_1	189458	190924	2	+	1467	Uncharacterized MFS-type transporter	- none -	 	 
fig|1873.143.peg.185	CDS	O3_1	191034	192026	3	+	993	hypothetical protein	- none -	 	 
fig|1873.143.peg.186	CDS	O3_1	192381	192040	-3	-	342	Transcriptional regulator, MarR family	- none -	 	 
fig|1873.143.peg.187	CDS	O3_1	192501	192785	3	+	285	NAD(P)H dehydrogenase (quinone) 2 (EC 1.6.5.2)	- none -	 	 
fig|1873.143.peg.188	CDS	O3_1	193088	192825	-2	-	264	hypothetical protein	- none -	 	 
fig|1873.143.peg.189	CDS	O3_1	194223	193264	-3	-	960	hypothetical protein	- none -	 	 
fig|1873.143.peg.190	CDS	O3_1	196556	194226	-2	-	2331	DNA translocase FtsK	- none -	 	 
fig|1873.143.peg.191	CDS	O3_1	197590	196574	-1	-	1017	putative secreted hydrolase	- none -	 	 
fig|1873.143.peg.192	CDS	O3_1	197773	199326	1	+	1554	Metallopeptidase	- none -	 	 
fig|1873.143.peg.193	CDS	O3_1	200191	199649	-1	-	543	hypothetical protein	- none -	 	 
fig|1873.143.peg.194	CDS	O3_1	202001	200292	-2	-	1710	hypothetical protein	- none -	 	 
fig|1873.143.peg.195	CDS	O3_1	203695	202154	-1	-	1542	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	Ammonia assimilation; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	 	 
fig|1873.143.peg.196	CDS	O3_1	208418	203688	-2	-	4731	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	Ammonia assimilation; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	 	 
fig|1873.143.peg.197	CDS	O3_1	208563	209408	3	+	846	FIG00817179: hypothetical protein	- none -	 	 
fig|1873.143.peg.198	CDS	O3_1	210254	209424	-2	-	831	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	- none -	 	 
fig|1873.143.peg.199	CDS	O3_1	211807	210602	-1	-	1206	Prolipoprotein diacylglyceryl transferase	- none -	 	 
fig|1873.143.peg.200	CDS	O3_1	211909	212475	1	+	567	NUDIX hydrolase	- none -	 	 
fig|1873.143.peg.201	CDS	O3_1	213231	212428	-3	-	804	Tryptophan synthase alpha chain (EC 4.2.1.20)	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.; <br>Tryptophan synthesis	 	 
fig|1873.143.peg.202	CDS	O3_1	214471	213233	-1	-	1239	Tryptophan synthase beta chain (EC 4.2.1.20)	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.; <br>Tryptophan synthesis	 	 
fig|1873.143.peg.203	CDS	O3_1	215373	214510	-3	-	864	Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.; <br>Tryptophan synthesis	 	 
fig|1873.143.peg.204	CDS	O3_1	215800	216069	1	+	270	hypothetical protein	- none -	 	 
fig|1873.143.peg.205	CDS	O3_1	216670	216062	-1	-	609	Tryptophan-associated membrane protein	Tryptophan synthesis	 	 
